2. Twój wiek?,8. Których Twoich oczekiwań pracodawca nie spełnia najczęściej? Nie zapewnia:,,,,,,,,,,,,,,
24-39 lat,,,,,przejrzystych zasad premiowania,,,,dopasowanego do potrzeb systemu motywacyjnego,,,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,dbałości o klimat sprzyjający zadowoleniu z pracy
40-55 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,,,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,,,,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,,,,
18-23 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,,,
24-39 lat,,,,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,,,,
24-39 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,,,,,,,,,
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,,,,,,,,,,
18-23 lat,,,,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,,,,,,,
18-23 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,dopasowanego do potrzeb systemu motywacyjnego,,przejrzystego systemu oceny pracy,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
24-39 lat,,,,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,,,,
18-23 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,,,
18-23 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,'bezpieczeństwa zatrudnienia, tj. stałej umowy o pracę',,,,,,,
18-23 lat,,,,,,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
18-23 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,'bezpieczeństwa zatrudnienia, tj. stałej umowy o pracę',,,,,,,
24-39 lat,,,,,przejrzystych zasad premiowania,,,,,,,,,szacunku i poszanowania godności,
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,przejrzystego systemu oceny pracy,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
40-55 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,,,
18-23 lat,,,,,,,,,,,,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
24-39 lat,,,,,,,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,,,,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
24-39 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
24-39 lat,,,,,,,,,,,przejrzystego systemu oceny pracy,,,,
40-55 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,,przejrzystych zasad premiowania,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,dbałości o klimat sprzyjający zadowoleniu z pracy
18-23 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,'bezpieczeństwa zatrudnienia, tj. stałej umowy o pracę',dopasowanego do potrzeb systemu motywacyjnego,,,,,,
18-23 lat,,odpowiednich do Twoich potrzeb warunków socjalnych,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),przejrzystego systemu oceny pracy,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,szacunku i poszanowania godności,
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,,,,,,,,,,
24-39 lat,,,,,,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,,,,,przejrzystego systemu oceny pracy,,,,
40-55 lat,,,,,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,,,,
40-55 lat,,,,,przejrzystych zasad premiowania,,,,,,,,,,
24-39 lat,,,,,przejrzystych zasad premiowania,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),,,,,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
18-23 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,,,,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,przejrzystych zasad premiowania,,,,dopasowanego do potrzeb systemu motywacyjnego,równowagi pomiędzy pracą a życiem osobistym (work life balance),,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,,,przejrzystego systemu oceny pracy,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
24-39 lat,,,,,,,,,dopasowanego do potrzeb systemu motywacyjnego,,przejrzystego systemu oceny pracy,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
18-23 lat,,,,,,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
24-39 lat,,,,,,,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
24-39 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,,przejrzystych zasad premiowania,,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,dopasowanego do potrzeb systemu motywacyjnego,równowagi pomiędzy pracą a życiem osobistym (work life balance),przejrzystego systemu oceny pracy,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
40-55 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,,'bezpieczeństwa zatrudnienia, tj. stałej umowy o pracę',dopasowanego do potrzeb systemu motywacyjnego,,przejrzystego systemu oceny pracy,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,'bezpieczeństwa zatrudnienia, tj. stałej umowy o pracę',,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
40-55 lat,,,,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,dopasowanego do potrzeb systemu motywacyjnego,równowagi pomiędzy pracą a życiem osobistym (work life balance),,,,,
24-39 lat,,odpowiednich do Twoich potrzeb warunków socjalnych,,,,,,,,,przejrzystego systemu oceny pracy,,,,
18-23 lat,,,,,,,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,,,,,,,
24-39 lat,,odpowiednich do Twoich potrzeb warunków socjalnych,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,,,dopasowanego do potrzeb systemu motywacyjnego,,,,,,
24-39 lat,,odpowiednich do Twoich potrzeb warunków socjalnych,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,dopasowanego do potrzeb systemu motywacyjnego,,,,,,
40-55 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,,,
40-55 lat,,,,,,,,,,,,,,szacunku i poszanowania godności,
40-55 lat,,,,,przejrzystych zasad premiowania,,,,,,przejrzystego systemu oceny pracy,,,,
24-39 lat,,odpowiednich do Twoich potrzeb warunków socjalnych,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,dopasowanego do potrzeb systemu motywacyjnego,,,,,,
24-39 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,dbałości o klimat sprzyjający zadowoleniu z pracy
40-55 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,,,
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,,,,,,,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
40-55 lat,,,,,przejrzystych zasad premiowania,,,,,,,,,,
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,dbałości o klimat sprzyjający zadowoleniu z pracy
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,dopasowanego do potrzeb systemu motywacyjnego,równowagi pomiędzy pracą a życiem osobistym (work life balance),przejrzystego systemu oceny pracy,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,,,,,,,,,,
40-55 lat,,,,,,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,,,,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
40-55 lat,,,,,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
40-55 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,dopasowanego do potrzeb systemu motywacyjnego,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,,,,,,,
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,,,,,,,,,,
24-39 lat,,,,,,,,'bezpieczeństwa zatrudnienia, tj. stałej umowy o pracę',dopasowanego do potrzeb systemu motywacyjnego,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,,,,,,,,,,,,
18-23 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,,,,,,,,,,,,
40-55 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,,,,,,,,,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,,,,,,,,,,,
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,,,dopasowanego do potrzeb systemu motywacyjnego,,przejrzystego systemu oceny pracy,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
24-39 lat,,,,,,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),,,,,
40-55 lat,,,,,,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),,,,,
40-55 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,,,,,,,,,
40-55 lat,,,,,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,dopasowanego do potrzeb systemu motywacyjnego,,,,regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
40-55 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,odpowiednich do Twoich potrzeb warunków socjalnych,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,,,
40-55 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,,,
40-55 lat,,odpowiednich do Twoich potrzeb warunków socjalnych,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,dopasowanego do potrzeb systemu motywacyjnego,,przejrzystego systemu oceny pracy,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,,,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),,,,,
40-55 lat,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,dbałości o klimat sprzyjający zadowoleniu z pracy
40-55 lat,,odpowiednich do Twoich potrzeb warunków socjalnych,,,,,,,,,,,,,
24-39 lat,,,,,,,,,,,przejrzystego systemu oceny pracy,,,,
24-39 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,,,,
40-55 lat,,,,,,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),przejrzystego systemu oceny pracy,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
40-55 lat,,,,,,,,,,,,,,,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,odpowiednich do Twoich potrzeb warunków socjalnych,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,,,szacunku i poszanowania godności,
40-55 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,możliwości udziału w szkoleniach rozwijających kwalifikacje i kompetencje na zajmowanym stanowisku,,,,,,,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,szacunku i poszanowania godności,
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,,,,,
18-23 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,przejrzystych zasad premiowania,,,,dopasowanego do potrzeb systemu motywacyjnego,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),regularnego otrzymywania informacji zwrotnych dotyczących oceny jakości pracy,,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,,,równego traktowania pracowników (brak dyskryminacji i brak faworyzowania wybranych pracowników),,,
24-39 lat,,,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,,,,,równowagi pomiędzy pracą a życiem osobistym (work life balance),,,,,
40-55 lat,,,,satysfakcjonującego wynagrodzenia i/lub jasnych zasad przydzielania podwyżek,,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,,,,,przejrzystego systemu oceny pracy,,,,dbałości o klimat sprzyjający zadowoleniu z pracy
